Number,Name,Designation,Category,Components,Absolute Magnitute,Quality Code for Best Images,NASA Link
454094,,2013 BZ45,PHA,1.0,21.87,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=454094
455176,,1999 VF22,PHA,1.0,20.7,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=455176
455184,,2000 ED14,PHA,1.0,21.23,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=455184
455554,,2004 MQ1,NEA,1.0,18.02,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=455554
461852,,2006 GY2,PHA,2.0,18.9,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=461852
464798,,2004 JX20,NEA,1.0,19.37,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=464798
465617,,2009 EK1,PHA,1.0,21.36,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=465617
466130,,2012 FZ23,PHA,1.0,18.25,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=466130
467309,,1996 AW1,PHA,1.0,19.95,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=467309
468468,,2004 KH17,PHA,1.0,21.98,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=468468
469737,,2005 NW44,NEA,1.0,20.39,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=469737
469896,,2005 WC1,PHA,1.0,20.66,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=469896
470951,,2009 LS,NEA,1.0,17.98,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=470951
470975,,2009 SC15,NEA,1.0,21.43,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=470975
471241,,2011 BX18,PHA,1.0,18.58,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=471241
